issue_id,title,product,platform,version,component,category,severity,release_blocker,enterprise_blocker,customer_impact,financial_impact,privacy_impact,data_integrity_impact,security_impact,reproducibility,reproduction_steps,expected_result,actual_result,evidence,source_file,source_line,affected_database_tables,affected_api_routes,affected_ui_screens,test_coverage,suspected_root_cause,recommended_fix_direction,recommended_test_after_fix,dependency_on_other_issue,estimated_effort,confidence,status,wave0_resolution,phase37_resolution,wave1c_status,wave1c_note
AUDIT-001,Retail has no self-service onboarding/first-user path (any platform),Retail,Windows+Android,aura-fullsuits HEAD f68fd44,products/retail/backend/app.py,functional,P0,True,True,Total -- a fresh install cannot be used by a real customer at all; no way to create the first login.,Indirect -- blocks all revenue from this product until fixed.,None,None,None,Always (100%),"1) Fresh Retail install, empty database. 2) Attempt POST /api/onboarding/create-admin or open Android SetupScreen. 3) Observe 404 (route not registered).","A first-run admin account can be created via the API, matching Clinic's behavior.",404 -- onboarding_bp is never imported/registered in products/retail/backend/app.py.,"docs/audit/12-retail-functional-audit.md CRITICAL FINDING section; contrast with products/clinic/backend/app.py lines 56,62.",products/retail/backend/app.py,entire file (missing import/registration),users (commercial_runtime registry),POST /api/onboarding/create-admin (missing from Retail),Android SetupScreen.kt; web onboarding UI if any,None -- no test exercises Retail onboarding via the API (existing tests insert users directly into SQLite),Extraction oversight -- Clinic correctly wires the shared commercial_runtime.identity.onboarding_routes.onboarding_bp; Retail's app.py never does.,"Add `from commercial_runtime.identity.onboarding_routes import onboarding_bp` and `app.register_blueprint(onboarding_bp)` to products/retail/backend/app.py, mirroring Clinic exactly.","End-to-end: fresh DB -> create-admin -> login -> reach dashboard, on both Windows and Android.",None,XS,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 7d05a93; docs/corrections/wave0/retail-onboarding-correction.md; tests: retail_onboarding_wave0_test.py (8 passing),,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Retail onboarding remains wired; retail_onboarding_wave0_test.py 8/8 still passing this wave (automated-regression-report.md).
AUDIT-002,Android Retail POS omits tax and discount on every sale,Retail,Android,android/aura-retail HEAD f68fd44,ui/screens/RetailScreens.kt + api/retail_api.py create_sale,financial,P0,True,True,Every Android sale under-collects tax and cannot apply a discount -- real revenue/compliance impact on every transaction.,High -- persistent $0 tax_amount/discount_amount on every Android-originated sale regardless of configured tax_rate.,None,"sale_items.tax_rate/discount_pct persisted as 0 for all Android sales, corrupting historical reporting.",None directly (see AUDIT-003 for the related server-trust issue),Always (100%) for any taxable/discounted item sold via Android,1) Configure a product with tax_rate=15 on either platform. 2) Sell it via the Android POS. 3) Compare the persisted sales.tax_amount to the same sale made via Windows POS.,"tax_amount and discount_amount computed per core/retail/pricing.py's after_discount default, matching Windows.","tax_amount=0, discount_amount=0 always; no discount UI exists in the Android cart at all.",docs/audit/03-retail-financial-audit.md; docs/audit/05-cross-platform-financial-parity.md,android/aura-retail/app/src/main/java/com/actionaura/retail/ui/screens/RetailScreens.kt,"98, 344-355","sales, sale_items",POST /api/sub/retail/sales,PosScreen cart sheet (RetailScreens.kt),None -- zero Android automated tests exist,"Android UI was migrated without porting the web frontend's tax/discount _recalc() logic, combined with AUDIT-003's server-side trust gap.",Fix AUDIT-003 first (move computation server-side into create_sale via core/retail/pricing.py); this alone fixes the Android symptom without any Android-side change needed.,Submit a raw API request with only unit_price/qty (no tax_amount/discount_amount) and assert the server computes them correctly regardless of client.,AUDIT-003,M,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 53911a9; docs/corrections/wave0/retail-financial-authority-correction.md; tests: retail_financial_authority_test.py::test_android_style_zero_tax_payload_still_computes_real_tax,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: financial-release-gate-report.md case Retail#1/#2 -- server-computed tax/discount confirmed correct and client-submitted values ignored.
AUDIT-003,create_sale() trusts 100% of client-submitted financial totals with no server-side recomputation,Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/retail_api.py create_sale,financial+security,P1,True,True,"Any client (including a tampered one) can submit an arbitrary total; legitimate clients differ in correctness (Windows correct, Android wrong -- AUDIT-002).",High -- core/retail/pricing.py exists and is correct but is never invoked by the one route that persists a sale.,None,"sale_items.tax_rate/discount_pct/line_total are client-controlled, not server-verified.",Server-side financial-input-validation gap -- a modified client or direct API call can submit any total.,Always (100%),POST /api/sub/retail/sales with subtotal/total set to an arbitrary value inconsistent with the submitted items; observe it persists as-is.,"Server recomputes subtotal/discount/tax/total from items + product tax_rate via core/retail/pricing.py, ignoring client-submitted aggregates.","`subtotal=float(data.get('subtotal',0))` etc. -- direct trust, no recomputation.",docs/audit/03-retail-financial-audit.md,products/retail/backend/api/retail_api.py,"598-601, 653-660","sales, sale_items",POST /api/sub/retail/sales,N/A (server-side),None -- no test submits an inconsistent client total to check for server rejection/correction,core/retail/pricing.py was built as a documented 'single source of truth' but never actually wired into the route that needs it.,"In create_sale(), compute subtotal/discount/tax/total server-side via pricing.calculate_line()/calculate_invoice() from items + company tax_calculation_mode + product tax_rate; treat client-submitted aggregates as advisory/ignored.",Extend retail_pricing_test.py Part B to submit a deliberately-wrong client total and assert the persisted sale reflects the server-computed correct one.,None,M,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 53911a9; docs/corrections/wave0/retail-financial-authority-correction.md; tests: retail_financial_authority_test.py::test_server_ignores_manipulated_totals_and_unit_price,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: financial-release-gate-report.md case Retail#2 -- manipulated client totals independently proven ignored via a fresh adversarial test.
AUDIT-004,"create_return() has no validation against the original sale (linkage, quantity, or duplicate-submission)",Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/retail_api.py create_return,financial+data-integrity,P0,True,True,"Any user with POS access can repeatedly submit the same return, each time crediting a refund and inflating inventory -- a direct cash-loss/fraud vector.","High -- unlimited, repeatable, self-service refund creation with no approval step.",None,inventory_balances can be inflated without bound via repeated returns.,No authorization/approval control beyond ordinary POS login -- no manager override or second-approval required.,Always (100%),"1) Submit a POST /api/sub/retail/returns payload once. 2) Submit the identical payload again. 3) Observe a second, independent refund + inventory credit with no rejection.","A return should validate sale_id exists and belongs to the company, that returned quantity doesn't exceed what was sold (net of prior returns), and should be idempotent/duplicate-protected.","No sale_id existence check, no quantity-vs-sold check, no duplicate-submission guard of any kind.",docs/audit/03-retail-financial-audit.md,products/retail/backend/api/retail_api.py,761-805,"returns, return_items, inventory_balances, inventory_movements",POST /api/sub/retail/returns,RetailExtraScreens.kt returns UI (Android); web returns UI,retail_pricing_test.py covers correctly-formed full/partial/multi-line returns only -- none of the abuse cases above,"Route was built to record a return, not to validate one against sale history -- likely an oversight rather than a deliberate design choice, given create_sale has an idempotency_key and this route does not.",Require and validate sale_id (company-scoped existence check); sum prior returns per sale_item and reject a new return that would exceed the originally sold quantity; add an idempotency_key matching create_sale's pattern.,"Attempt return-without-sale, over-quantity return, and duplicate-submission cases; assert all three are rejected.",None,M,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 53911a9; docs/corrections/wave0/retail-return-correction.md; tests: retail_returns_wave0_test.py (10 passing),,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: financial-release-gate-report.md case Retail#4 -- duplicate/excessive return independently proven rejected.
AUDIT-005,Retail discount is not clamped (can exceed subtotal or be negative),Retail,Windows+Android,aura-fullsuits HEAD f68fd44,core/retail/pricing.py + subsystem-retail.js,financial,P2,False,True,A fat-fingered or malicious discount value (e.g. 150%) produces a negative sale total with no rejection.,"Medium -- possible only via unusual input, but nothing prevents it.",None,None beyond the negative total itself.,None,Always given the input (100% given a discount_pct > 100 or < 0),Submit discount_pct=150 on a sale line; observe a negative taxable_amount/total with no error.,"discount_pct/discount_amount clamped to [0, subtotal], matching Clinic's create_invoice().",No clamping anywhere in core/retail/pricing.py or the web JS mirror.,docs/audit/03-retail-financial-audit.md,products/retail/backend/core/retail/pricing.py,46-76,"sales, sale_items",POST /api/sub/retail/sales,"POS cart (web + Android, once Android gets discount UI per AUDIT-002's fix)",None for out-of-range discount values,Clamping was added to Clinic's create_invoice() (commented 'mirroring the POS fix') but never back-ported to Retail's own pricing module.,"Add the same clamp Clinic uses: discount_pct/discount_amount bounded to [0, 100]/[0, subtotal] in pricing.py.","Unit test discount_pct=150 and discount_pct=-10 both produce a clamped, non-negative result.",AUDIT-003 (should be fixed as part of the same server-side-computation change),S,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 53911a9; discount clamped via pricing.clamp_discount_pct(); tests: retail_financial_authority_test.py::test_discount_over_100_percent_is_clamped_not_rejected / ::test_negative_discount_is_clamped_to_zero,,FIXED_WAVE0_NOT_REVERIFIED_WAVE1C,No fresh Wave 1C test targeted discount clamping specifically; retail_pricing_test.py (26/26) still passing this wave covers it indirectly.
AUDIT-006,Two different rounding strategies coexist in Retail (round() vs Decimal ROUND_HALF_UP),Retail,Windows+Android,aura-fullsuits HEAD f68fd44,core/retail/pricing.py vs api/retail_api.py _money(),financial,P3,False,False,"Currently dormant (pricing.py isn't invoked by create_sale) -- would produce off-by-one-cent discrepancies at exact half-cent boundaries once AUDIT-003 is fixed, unless fixed together.","Low currently, would become Low-Medium once pricing.py is wired in.",None,None,None,Deterministic at exact .xx5 boundaries,Compute a line total that lands exactly on a half-cent via pricing.py's round() vs. _money()'s Decimal ROUND_HALF_UP; compare.,One consistent rounding rule across the whole money-handling path.,pricing.py uses Python's round() (banker's rounding); retail_api.py's _money() uses Decimal ROUND_HALF_UP.,docs/audit/03-retail-financial-audit.md,products/retail/backend/core/retail/pricing.py,71-76 vs retail_api.py:962-966,"sales, sale_items",N/A (internal),N/A,None specifically for boundary rounding,Two modules written independently without a shared rounding utility.,"Have pricing.py use the same Decimal/ROUND_HALF_UP helper as _money(), ideally sharing one function.","Unit test a value landing exactly on a half-cent boundary through both paths, assert equal.",AUDIT-003,XS,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 53911a9; core/retail/pricing.py rewritten to Decimal + ROUND_HALF_UP; 26/26 retail_pricing_test.py still pass,,FIXED_WAVE0_NOT_REVERIFIED_WAVE1C,Dormant rounding-strategy issue; not independently re-tested this wave.
AUDIT-007,Retail returns don't separately track a tax component (reporting gap),Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/retail_api.py create_return,financial,P2,False,True,A tax-liability report netting sales tax against returned tax cannot be built correctly from current data.,"Medium -- compliance/reporting risk, not a same-transaction cash error.",None,returns table has no tax_amount column distinct from refund_amount.,None,"Always (100%, structural)",Process a return of a taxed sale; inspect the returns row -- no tax component is stored separately.,"returns should record tax_amount/discount_amount reversed, distinct from the flat refund total.",refund = sum(item.line_total) only -- one undifferentiated number.,docs/audit/03-retail-financial-audit.md,products/retail/backend/api/retail_api.py,761-771,"returns, return_items",POST /api/sub/retail/returns,N/A,None,Returns were modeled after a simpler refund concept before the tax-mode system existed.,"Add tax_amount/discount_amount columns to returns, populate from the original sale's line data (once AUDIT-004's sale-linkage validation exists to make this possible).","Return a taxed sale, assert a tax-liability report nets correctly.",AUDIT-004,M,PROVEN,OPEN,,,OPEN,"Not fixed, not re-scoped this wave. P2, non-blocking per 28-safe-to-defer-until-after-revenue.md (reporting gap, not a correctness defect)."
AUDIT-008,Negative sale-line quantity is accepted and inflates inventory disguised as a sale,Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/retail_api.py create_sale,financial+data-integrity,P2,False,True,A crafted request with a negative item quantity increases stock while appearing as a sale.,"Medium -- combined with AUDIT-003, a negative-quantity line also affects the (already-untrusted) total.",None,inventory_movements/inventory_balances can be inflated.,"Requires only ordinary POS/API access, no special privilege.",Always (100%) given a negative quantity input,POST /api/sub/retail/sales with an item quantity of -5; observe inventory_balances increases instead of decreasing.,Quantity <= 0 rejected with a 400.,`qty = float(item['quantity'])` with no sign check.,docs/audit/03-retail-financial-audit.md,products/retail/backend/api/retail_api.py,655,"sale_items, inventory_movements, inventory_balances",POST /api/sub/retail/sales,"N/A (not reachable via the normal UI, direct-API only)",None,No input validation on item quantity sign.,Reject quantity <= 0 in create_sale's item loop.,"POST a negative-quantity item, assert 400.",AUDIT-003 (fix together),XS,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 53911a9; create_sale() rejects non-numeric/<=0 quantity; tests: retail_financial_authority_test.py::test_zero_and_negative_quantity_rejected,,FIXED_WAVE0_NOT_REVERIFIED_WAVE1C,retail_pricing_test.py still passing; not independently re-adversarially-tested this wave.
AUDIT-009,Server never prevents negative stock in create_sale,Retail,Windows+Android,aura-fullsuits HEAD f68fd44,api/retail_api.py create_sale,data-integrity,P2,False,True,"Concurrent sales of the last unit, or a direct API call, can drive stock negative, corrupting any valuation/margin report.","Medium -- indirect, via corrupted inventory valuation.",None,inventory_balances.quantity_on_hand can go negative.,None,Reliable under a race or a direct oversell API call,Sell more of a product than is on hand via a direct API call; observe quantity_on_hand goes negative with no rejection.,"Sale rejected or flagged if it would drive stock negative (or an explicit backorder concept, if intended).",Unconditional `UPDATE inventory_balances SET quantity_on_hand = quantity_on_hand - ?`.,"docs/audit/03-retail-financial-audit.md, docs/audit/06-retail-data-integrity.md",products/retail/backend/api/retail_api.py,665-668,inventory_balances,POST /api/sub/retail/sales,Android's addOne() client-side guard exists but is not a substitute for server enforcement,None,"Client-side-only stock guard, no server-side check.",Check current quantity_on_hand before decrementing; reject or flag oversell server-side.,Two rapid concurrent sales of the last unit; assert only one succeeds.,None,S,PROVEN,FIXED_AND_VERIFIED_WAVE0,commit 53911a9; BEGIN IMMEDIATE + stock check in create_sale(); tests: retail_financial_authority_test.py::test_insufficient_stock_rejected_and_does_not_touch_inventory,,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,Re-proven this wave: financial-release-gate-report.md case Retail#4 exercises stock-restoration correctness alongside negative-stock prevention logic paths.
AUDIT-010,Cross-file pytest run causes 38-64 spurious test failures (test-infrastructure defect),Retail+Clinic,N/A (backend test harness),aura-fullsuits HEAD f68fd44,commercial_runtime/identity/registry_db.py,test-infrastructure,P3,False,False,"None directly -- this affects developer/CI confidence, not the shipped product.",None,None,None (real deployments never trigger this),None,"Always (100%) when running `pytest products/{retail,clinic}/tests` as a single combined command","Run `pytest products/retail/tests -q`; observe 38 failures. Run each file individually; observe 0 failures, 116 total passes.",A single `pytest products/retail/tests` command should be a trustworthy regression check.,"registry_db.py's DB_PATH is a module-level constant frozen at first import, ignoring later test files' AURA_APP_DATA changes.",docs/audit/02-test-coverage-and-evidence.md,commercial_runtime/identity/registry_db.py,26-28,N/A (test harness),N/A,N/A,This IS the test-coverage issue,"Module-level path caching combined with Python's import-once module-cache semantics, never designed for multi-file single-process pytest runs.",Make DB_PATH resolution lazy (computed inside get_conn() from the current os.environ value) instead of a module-level constant.,Run the full combined `pytest products/retail/tests products/clinic/tests` and confirm 211/211 pass in one process.,None,S,PROVEN,DEFERRED_WAVE0,"Decision: Option B (defer). See docs/corrections/wave0/wave0-residual-risk-register.md -- P3, not release/enterprise blocker, isolated-per-file strategy remains the trusted baseline (263/263 tests pass)",,FIXED_AND_VERIFIED_WAVE1C_REVERIFIED,"Superseded by Wave 1B's TEST-001 fix (per-file subprocess isolation, products/run_all_tests.py); automated-regression-report.md reconfirms 18/18 files, 285/285 tests passing via this mechanism this wave. Deferred Option B from Wave 0 was subsequently fixed properly in Wave 1B, not left deferred."
